id,source,prefecture,region,agency,agency_type,title,category,bid_method,announced_date,deadline,budget,spec_status,spec_reason,winner,win_price,detail_url,external_id
6219,官公需API,三重県,東海,国家公安委員会（警察庁）三重県警察,国の機関,令和8年度第1号 三重県警察学校自動火災報知設備改修工事、令和8年度第4号 三重県警察学校体育館空調設備整備工事 発注見通し,電気工事,,2026-06-03,,,unknown,,,,https://www.police.pref.mie.jp/upload/20260603-112833.pdf,KKJ-bWllL3BvbGljZV9taWUvMjAyNi8yMDI2MDYwM18wMDI3MAo=
6538,官公需API,三重県,東海,三重県尾鷲市,地方公共団体,矢浜津波避難施設建設工事,電気工事,,2026-05-14,,,available,,,,https://www.city.owase.lg.jp/cmsfiles/contents/0000024/24662/01-koukoku-yanohamahinantower.pdf,KKJ-bWllL293YXNlX2NpdHkvMjAyNi8yMDI2MDUxNF8wMDAyNwo=
6539,官公需API,三重県,東海,三重県尾鷲市,地方公共団体,中井町津波避難施設建設工事,電気工事,,2026-05-14,,,available,,,,https://www.city.owase.lg.jp/cmsfiles/contents/0000024/24662/01-koukoku-nakaihinantower.pdf,KKJ-bWllL293YXNlX2NpdHkvMjAyNi8yMDI2MDUxNF8wMDAyNgo=
6564,官公需API,三重県,東海,三重県志摩市,地方公共団体,神明小学校屋内運動場照明設備LED化工事,電気工事,,2026-05-13,,,available,,,,https://www.city.shima.mie.jp/material/files/group/7/0101koukokuR080527.pdf,KKJ-bWllL3NoaW1hX2NpdHkvMjAyNi8yMDI2MDUxM18wMjA1NQo=
6636,官公需API,三重県,東海,三重県玉城町,地方公共団体,玉城町立有田小学校校舎等改修工事,電気工事,,2026-05-08,,,available,,,,https://kizuna.town.tamaki.mie.jp/sangyobusiness/nyusatsu/nyusatu_r8/documents/R8kou2_01koukoku.pdf,KKJ-bWllL3RhbWFraV90b3duLzIwMjYvMjAyNjA1MDhfMDAyODAK
6655,官公需API,三重県,東海,三重県尾鷲市,地方公共団体,三木浦第2浄水場設備取替工事（電気設備その2）,電気工事,,2026-05-07,,,available,,,,https://www.city.owase.lg.jp/cmsfiles/contents/0000024/24592/01koukoku(mikiura).pdf,KKJ-bWllL293YXNlX2NpdHkvMjAyNi8yMDI2MDUwN18wMDAyMgo=
6704,官公需API,三重県,東海,三重県志摩市,地方公共団体,大王小学校屋内運動場大規模改造工事,電気工事,,2026-04-28,,,available,,,,https://www.city.shima.mie.jp/material/files/group/7/1801koukokuR080527.pdf,KKJ-bWllL3NoaW1hX2NpdHkvMjAyNi8yMDI2MDQyOF8wMjA0NQo=
6705,官公需API,三重県,東海,三重県志摩市,地方公共団体,大王小学校屋内運動場大規模改造工事,電気工事,,2026-04-28,,,available,,,,https://www.city.shima.mie.jp/material/files/group/7/0701koukokuR080527.pdf,KKJ-bWllL3NoaW1hX2NpdHkvMjAyNi8yMDI2MDQyOF8wMjA0Mwo=
6840,官公需API,三重県,東海,法務省,国の機関,四日市法務合同庁舎電灯設備改修工事,電気工事,一般競争入札,2026-04-24,,,unknown,,,,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,KKJ-c2VhcmNoL3BfcG9ydGFsLzIwMjYvMDQvMjAyNjA0MjRfNzAzNTIK
6851,官公需API,三重県,東海,検察庁津地方検察庁,国の機関,四日市法務合同庁舎電灯設備改修工事,電気工事,一般競争入札,2026-04-24,,,unknown,,,,https://www.kensatsu.go.jp/kakuchou/tsu/page1000001_00232.pdf,KKJ-bWllL2tlbnNhdHN1X3RzdS8yMDI2LzIwMjYwNDI0XzAwMDI0Cg==
